trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
10,1,5,1,5,5,-0,0,0.727109534665942,0.143079033121467,1,0,0,1,0.154,0.374,NaN,0.18,1.016,NaN
16,3,1,1,3,3,1,0,0.827560942620039,0.153902569785714,0,1,1,0,0.259,0.495,NaN,0.196,0.856,NaN
33,1,3,1,3,3,-0,0,0.796905504539609,0.160519232973456,1,0,0,1,0.147,0.415,NaN,0.216,1.012,NaN
50,3,1,1,3,3,1,0,0.817210523411632,0.176145367324352,0,1,1,0,0.147,0.403,NaN,0.196,0.612,NaN
57,4,1,1,4,4,1,0,0.787259433418512,0.162061976268888,0,1,1,0,0.178,0.446,NaN,0.212,0.796,NaN
62,3,1,1,3,3,1,0,0.816735608503222,0.176385540515184,0,1,1,0,0.144,0.368,NaN,0.184,0.636,NaN
83,3,1,1,3,3,1,0,0.817092822864652,0.146259102970362,0,1,1,0,0.154,0.426,NaN,0.232,0.824,NaN
110,4,1,1,4,4,1,0,0.907299879938364,0.149342473596334,0,1,1,0,0.149,0.405,NaN,0.212,0.792,NaN
111,2,1,1,2,1,-0,1,0.96687781251967,0.166739469394088,0,1,1,0,0.144,0.396,0.776,0.208,0.332,0.636
118,1,3,1,3,1,1,1,0.856945483013988,0.140041036531329,1,0,0,1,0.146,0.39,0.662,0.188,0.216,0.512
131,5,1,1,5,5,1,0,0.706998012959957,0.168990608304739,0,1,1,0,0.165,0.421,NaN,0.212,0.764,NaN
143,5,1,1,5,5,1,0,0.80727780610323,0.159230183809996,0,1,1,0,0.155,0.411,NaN,0.212,1.132,NaN
152,2,1,1,2,1,-0,1,0.848779974505305,0.149353791028261,0,1,1,0,0.146,0.402,0.674,0.212,0.216,0.568
161,4,1,1,4,4,1,0,0.717281399294734,0.165576683357358,0,1,1,0,0.161,0.413,NaN,0.208,0.64,NaN
166,1,3,1,3,3,-0,0,0.91711981780827,0.166110290214419,1,0,0,1,0.199,0.447,NaN,0.196,1.04,NaN
182,2,1,1,2,1,-0,1,1.13731567747891,0.172858785837889,0,1,1,0,0.174,0.414,0.874,0.2,0.404,0.632
202,1,2,1,2,1,1,1,0.997698690742254,0.150988355278969,1,0,0,1,0.228,0.476,0.76,0.192,0.24,0.56
203,3,1,1,3,1,-0,1,1.23722000792623,0.153833331540227,0,1,1,0,0.161,0.401,0.705,0.2,0.252,1.128
217,1,2,1,2,2,-0,0,0.767127005383372,0.186106620356441,1,0,0,1,0.19,0.418,NaN,0.176,0.724,NaN
221,2,1,1,2,2,1,0,0.78688257932663,0.152106685563922,0,1,1,0,0.13,0.414,NaN,0.236,0.728,NaN
232,1,4,1,4,4,-0,0,0.777145916596055,0.174384851008654,1,0,0,1,0.186,0.418,NaN,0.176,1.08,NaN
234,5,1,1,5,5,1,0,0.807059407234192,0.149375366047025,0,1,1,0,0.178,0.418,NaN,0.2,0.96,NaN
241,4,1,1,4,4,1,0,0.786939736455679,0.173733193427324,0,1,1,0,0.144,0.404,NaN,0.204,1.26,NaN
248,2,1,1,2,1,-0,1,1.02711628563702,0.146986095234752,0,1,1,0,0.18,0.448,0.836,0.22,0.336,0.596
258,3,1,1,3,3,1,0,0.857434272766113,0.157740110531449,0,1,1,0,0.26,0.492,NaN,0.188,0.74,NaN
268,1,3,1,3,3,-0,0,0.867293452844024,0.164386633783579,1,0,0,1,0.143,0.363,NaN,0.168,0.836,NaN
272,1,3,1,3,3,-0,0,0.9670804515481,0.176483871415257,1,0,0,1,0.223,0.459,NaN,0.188,0.896,NaN
290,1,5,1,5,5,-0,0,0.817195782437921,0.146128304302692,1,0,0,1,0.162,0.406,NaN,0.204,1.144,NaN
303,4,1,1,4,4,1,0,0.747030889615417,0.160867558792233,0,1,1,0,0.147,0.407,NaN,0.216,0.648,NaN
307,1,1,1,1,1,-0,1,0.926832430064678,0.185495072975755,0,1,1,0,0.151,0.387,0.767,0.192,0.324,0.624
315,3,1,1,3,3,1,0,0.787193737924099,0.153546951711178,0,1,1,0,0.177,0.409,NaN,0.192,0.608,NaN
