sim_id,true_eta,true_kappa,true_a,true_sigma,true_b,true_x0,tada_eta,tada_kappa,tada_a,tada_z,tada_x0,addm_eta,addm_kappa,addm_a,addm_x0_raw,addm_x0,time_data_simulation,time_tada_inference,time_addm_inference,tada_eta_error,tada_eta_rel_error,addm_eta_error,addm_eta_rel_error,tada_kappa_error,tada_kappa_rel_error,addm_kappa_error,addm_kappa_rel_error,tada_a_error,tada_a_rel_error,addm_a_error,addm_a_rel_error,tada_x0_error,tada_x0_rel_error,addm_x0_error,addm_x0_rel_error
0,0.42454802688998333,0.45930389507678443,1.8172944503135793,1.0,0.0,0.49859355651831594,0.399,0.456,1.806,0.639,0.502068,0.451,0.436,1.837,0.644,0.529056,229.96885657310486,18.96703004837036,117.03484678268433,-0.02554802688998331,-0.060177000649690414,0.02645197311001668,0.06230619726062559,-0.0033038950767844133,-0.007193265966603838,-0.02330389507678443,-0.05073742096806862,-0.01129445031357923,-0.006214980908366468,0.019705549686420687,0.010843344447026974,0.0034744434816840197,0.006968488533919482,0.03046244348168403,0.06109674520144944
1,0.6701272062593124,0.7433213271637947,1.4937396611134868,1.0,0.0,-0.22434381430784334,0.608,0.773,1.478,0.414,-0.254216,0.652,0.755,1.493,0.413,-0.2597820000000002,123.08310842514038,17.929875135421753,79.74204087257385,-0.06212720625931245,-0.09270957167387665,-0.01812720625931241,-0.02705039593974925,0.02967867283620529,0.039927110593539365,0.011678672836205273,0.01571147283068849,-0.01573966111348679,-0.010537084555787913,-0.0007396611134866671,-0.0004951740472200472,-0.02987218569215666,0.1331535963419353,-0.03543818569215684,0.1579637299182618
2,0.4502758669708769,0.14174791807751333,1.8111414894710778,1.0,0.0,-0.0163536938745652,0.443,0.151,1.818,0.486,-0.05090400000000006,0.46,0.149,1.824,0.486,-0.051072000000000006,317.3487482070923,17.41173481941223,112.87886595726013,-0.007275866970876899,-0.016158687383855484,0.009724133029123117,0.02159594538019524,0.009252081922486666,0.06527137786550956,0.007252081922486664,0.05116182319179419,0.006858510528922279,0.0037868441360289443,0.012858510528922285,0.007099672004464686,-0.03455030612543486,2.1126912604846257,-0.034718306125434806,2.122964168935067
3,0.4027438417385661,0.47124160738783333,2.7867080552044623,1.0,0.0,-0.3001230413319771,0.419,0.447,2.715,0.448,-0.2823599999999997,0.424,0.454,2.786,0.446,-0.30088800000000004,501.45575857162476,18.08083438873291,157.82428431510925,0.016256158261433895,0.04036351789082423,0.0212561582614339,0.052778357006466534,-0.02424160738783332,-0.05144199282870708,-0.017241607387833313,-0.03658761687747877,-0.07170805520446244,-0.025732173512234377,-0.0007080552044622657,-0.00025408302213068216,0.01776304133197737,-0.059185863415028565,-0.0007649586680229525,0.0025488168606714995
4,0.4692048775241952,1.2187532979717564,2.393997054866691,1.0,0.0,1.4913184440129372,0.466,1.144,2.214,0.8,1.3284000000000002,0.478,1.209,2.357,0.813,1.475482,157.61738085746765,19.09185028076172,133.82743000984192,-0.003204877524195182,-0.00683044375221764,0.008795122475804773,0.01874473795373374,-0.07475329797175645,-0.061335873384843795,-0.00975329797175628,-0.008002684372618868,-0.17999705486669093,-0.075186832206322,-0.03699705486669069,-0.015454093726423094,-0.16291844401293698,-0.10924457124968251,-0.015836444012937267,-0.01061908948857598
5,0.338564215473836,0.5300215471399147,2.0208084848244408,1.0,0.0,-0.7500874024218989,0.353,0.538,1.993,0.328,-0.685592,0.374,0.544,2.07,0.32,-0.7451999999999999,239.01025915145874,18.487078189849854,119.85126566886902,0.014435784526163953,0.04263824664978375,0.03543578452616397,0.10466488455246216,0.007978452860085361,0.015053072659287972,0.013978452860085366,0.02637336714991201,-0.02780848482444065,-0.013761068915373507,0.049191515175559086,0.024342492395974195,0.06449540242189888,-0.08598384963359562,0.004887402421899001,-0.006515777236250665
6,0.15415992171034418,0.27131345309123306,1.342454159977296,1.0,0.0,-0.45150201992221684,0.026,0.275,1.264,0.357,-0.36150400000000005,0.117,0.253,1.287,0.347,-0.393822,123.62399458885193,18.154924154281616,94.5542950630188,-0.12815992171034418,-0.8313439724700159,-0.03715992171034417,-0.24104787611507153,0.0036865469087669633,0.013587777777931671,-0.018313453091233056,-0.06749924444430293,-0.07845415997729588,-0.05844084834794115,-0.05545415997729597,-0.041308047328955974,0.08999801992221679,-0.19933027085398494,0.05768001992221683,-0.12775141057431755
7,0.13209579190161191,0.5484725075936137,2.623211287779385,1.0,0.0,-1.788613589912362,0.121,0.521,2.375,0.176,-1.5390000000000001,0.143,0.537,2.541,0.162,-1.7177159999999998,241.06212329864502,21.191773414611816,176.02061486244202,-0.011095791901611918,-0.08399807247362072,0.010904208098388074,0.08254773253117546,-0.027472507593613638,-0.05008912427378981,-0.011472507593613623,-0.02091719718814801,-0.24821128777938517,-0.0946211572570284,-0.08221128777938524,-0.031339941301098614,0.24961358991236193,-0.1395570241220142,0.07089758991236228,-0.039638293207777814
8,0.8678252480166252,0.21708658904620473,2.6343802264161655,1.0,0.0,-0.23207414276994198,0.925,0.206,2.601,0.444,-0.291312,0.901,0.209,2.603,0.445,-0.28633,598.4610526561737,18.548765897750854,157.87660217285156,0.05717475198337485,0.06588279393120346,0.03317475198337483,0.03822745657515059,-0.011086589046204742,-0.051069893791758234,-0.00808658904620474,-0.03725052331299742,-0.03338022641616556,-0.012670997937748842,-0.031380226416165335,-0.011911806086874284,-0.05923785723005803,0.2552540171990693,-0.05425585723005799,0.23378673979997205
9,0.17934872129263923,0.12563509234620082,3.2112840956272386,1.0,0.0,-0.8298705188152962,0.217,0.115,3.139,0.375,-0.7847499999999998,0.175,0.123,3.174,0.377,-0.7808039999999998,968.2970278263092,20.283281564712524,183.24844789505005,0.037651278707360764,0.20993335461771165,-0.004348721292639246,-0.024247294663135827,-0.010635092346200817,-0.08465065092557653,-0.0026350923462008236,-0.020974174468225384,-0.07228409562723881,-0.0225094054199898,-0.03728409562723867,-0.011610338580136185,0.04512051881529633,-0.05437055274563715,0.049066518815296334,-0.0591255113934431
