sim_id,true_eta,addm_eta,addm_eta_hdi_3%,addm_eta_hdi_97%,true_kappa,addm_kappa,addm_kappa_hdi_3%,addm_kappa_hdi_97%,true_a,addm_a,addm_a_hdi_3%,addm_a_hdi_97%,true_x0,addm_x0,addm_x0_hdi_3%,addm_x0_hdi_97%
0,0.3,0.298,0.278112230739112,0.3160084319062293,0.5,0.496,0.4795742192675307,0.5118260799873554,2.140826770376092,2.149,2.1150679851371934,2.18778735932976,0.5,0.528654,0.49425961643350647,0.5654388890977518
1,0.3,0.288,0.27636156190251354,0.3033254440995665,0.5,0.485,0.47128978207784855,0.49853229487082645,3.5954428951372184,3.597,3.5263702190273665,3.6555078022669805,0.5,0.553938,0.49388682572497933,0.6073677447068513
2,0.3,0.323,0.29745738331920824,0.34902041574306425,0.5,0.506,0.486295470769716,0.5253384467848822,1.3927519389801444,1.393,1.3682855948715011,1.4160725422630946,0.5,0.5042660000000001,0.4836456680244048,0.5271068967220105
3,0.3,0.319,0.2967227268901388,0.3432181321409817,0.5,0.508,0.4885697844687748,0.5280127099684788,1.5542952785891457,1.558,1.5316891864380582,1.5848072611572457,0.5,0.51414,0.49031547711764323,0.5400314487655444
4,0.3,0.3,0.28019595102607864,0.3194375301570701,0.5,0.499,0.48346578410191743,0.5167296475704163,2.339548645717877,2.32,2.2806683728283814,2.360808139786994,0.5,0.49648000000000003,0.46156922141728307,0.5334346119158018
5,0.3,0.32,0.286520367057708,0.35356569562312345,0.5,0.501,0.4776408155139153,0.5245079892253253,1.150795967430231,1.146,1.1248557269920416,1.1659752071821858,0.5,0.48361199999999993,0.4660488293994651,0.5003635912093336
6,0.3,0.311,0.2733220426513292,0.34501249480882074,0.5,0.511,0.48483656049665186,0.5362914705217933,1.05180508298725,1.076,1.057791255944134,1.096577037587679,0.5,0.5229360000000001,0.5081899540727932,0.5386282858455129
7,0.3,0.297,0.26719598128062266,0.3284925679772546,0.5,0.499,0.4749200074264824,0.5208020292631996,1.1340389725078437,1.128,1.1082991032832679,1.146906524732714,0.5,0.48052799999999984,0.4638236072009909,0.4973473789488565
8,0.3,0.311,0.2885900139927044,0.33810110781797936,0.5,0.521,0.4997441779546801,0.5416467191138826,1.3360261563846996,1.346,1.3218022352691527,1.3693908108816712,0.5,0.5087879999999998,0.4900620782450642,0.5276167753111172
9,0.3,0.259,0.21321692773559128,0.29815567925143205,0.5,0.491,0.4650777507720003,0.5170968851499471,0.9998068364632776,0.998,0.9796239146783994,1.0128131647774377,0.5,0.4910159999999999,0.47618826025459393,0.50424425520832
10,0.3,0.296,0.2566408112266525,0.32944116939619017,0.5,0.502,0.47752006282845777,0.5268534601427699,1.0184337046096907,1.029,1.0098576615933013,1.0471085255959056,0.5,0.5062679999999999,0.49268808509149187,0.5203272593923021
11,0.3,0.299,0.2736341710664783,0.3290976594026157,0.5,0.489,0.46958959362383296,0.5086429876473736,1.37718006178503,1.382,1.3603822657981837,1.4041681759282008,0.5,0.5113400000000001,0.4885018295564654,0.5323683322527726
12,0.3,0.305,0.2844032367557322,0.3209987062426257,0.5,0.494,0.47924451980446947,0.5121656613969178,2.4016510567881064,2.392,2.355756704147342,2.433672639932103,0.5,0.4544799999999998,0.4171886670676255,0.4931643895791056
13,0.3,0.31,0.29864668164744246,0.3208255791804492,0.5,0.501,0.4870574016281129,0.5119559459511195,4.26563384423439,4.291,4.221249862348373,4.368677413429707,0.5,0.5492479999999995,0.4811847178874178,0.6135001358795469
14,0.3,0.299,0.2769813439160979,0.3238694369356149,0.5,0.503,0.4865748565434448,0.521270473446831,1.7547711500990957,1.754,1.7233508546235696,1.7830965242188173,0.5,0.5016440000000002,0.4712879770601317,0.5271020920346494
15,0.3,0.304,0.26720561829227113,0.3391720536921845,0.5,0.506,0.47773072658406734,0.5273428830079149,1.0307311162124815,1.038,1.0192718682419228,1.0561047354358646,0.5,0.5044679999999999,0.49008210639406546,0.5185580143920983
16,0.3,0.305,0.2851332618849606,0.32309457319623613,0.5,0.498,0.4812322022315381,0.5122607340913999,2.0795989843786185,2.066,2.0319566108900977,2.1018273901479554,0.5,0.49170800000000003,0.4621229200751191,0.5276112413149616
17,0.3,0.293,0.2647296911679193,0.3208283675870098,0.5,0.509,0.4878003537059257,0.5295843225814011,1.339425266188682,1.346,1.323827587840942,1.3696213682935767,0.5,0.5034040000000002,0.48134603062357617,0.5226558760706701
18,0.3,0.334,0.3045464852928157,0.36271213865251917,0.5,0.514,0.4920910457052829,0.5352011028261568,1.2588789046401119,1.27,1.2514548491389763,1.2945395085565157,0.5,0.51562,0.49632495777756436,0.5324676933738661
19,0.3,0.309,0.2945367853116082,0.3228318132851896,0.5,0.506,0.49089731819951543,0.5203438296335015,2.9202038111294195,2.961,2.907012226757286,3.0127389869360237,0.5,0.4500719999999996,0.40108317826505546,0.4959318242951789
20,0.3,0.305,0.29291064077518947,0.3174789991265395,0.5,0.507,0.49273752593150016,0.520837705375091,4.035595371009543,4.076,3.995604561131347,4.150114880330334,0.5,0.5461839999999993,0.476960057989956,0.6059878070277565
21,0.3,0.327,0.2623599138414555,0.37693581057232417,0.5,0.49,0.4507689330597673,0.5268923041069099,0.7146486075386564,0.714,0.6980201899923785,0.7287608603253021,0.5,0.49551599999999985,0.48871068903963155,0.5023017894207853
22,0.3,0.317,0.26159729776413226,0.37856242724424144,0.5,0.493,0.4543967142622165,0.5312226076570252,0.6649028184275028,0.67,0.6534105765346868,0.6839460414519696,0.5,0.49982000000000004,0.494743484998757,0.5055216387989322
23,0.3,0.304,0.2758115395497067,0.3345122649133636,0.5,0.503,0.4801177130973127,0.5228167981555596,1.2182910540106555,1.223,1.2040249046579816,1.243900107199782,0.5,0.49898399999999987,0.48137942346675344,0.5178180442973304
24,0.3,0.298,0.28525946386881906,0.30899433034740753,0.5,0.503,0.48821324459350435,0.5158775554477837,4.1770164347456005,4.155,4.07730283711818,4.233263933370835,0.5,0.4902900000000008,0.42681626682127316,0.546826615732785
25,0.3,,,,0.5,,,,0.34797490619414134,,,,0.5,,,
26,0.3,0.294,0.2800727493364888,0.3090689289390768,0.5,0.5,0.48555303947865797,0.5139408618371224,2.983431347560592,2.96,2.907466741920917,3.0118225676841512,0.5,0.5091199999999998,0.4636076625632577,0.5584537415605992
27,0.3,0.288,0.25688030393173855,0.32123896320758805,0.5,0.5,0.47640541044207657,0.523381904034952,1.0946943385135732,1.115,1.0953985864024829,1.1337215676435233,0.5,0.52182,0.5067535871206386,0.5382304973963614
28,0.3,0.292,0.2528753049885412,0.334852488364729,0.5,0.478,0.452253600115837,0.5070507066542675,0.9767452195039306,0.983,0.964077691495429,0.9990277716120152,0.5,0.49936400000000003,0.4868352587921633,0.5143192567519582
29,0.3,0.323,0.2880127782429735,0.36438604457601814,0.5,0.509,0.48433656946487386,0.5408316555551244,0.9333841842109234,0.94,0.9214118973342961,0.9572789847532759,0.5,0.50196,0.49018681719474655,0.5148085682066179
